sample_id,taxon,population,region,country,source_study,accession
Coyote001,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote002,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote003,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote004,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote005,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote006,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote007,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote008,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote009,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote010,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote011,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote012,coyote,western_coyote,Arizona,USA,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote168,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote169,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote170,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote171,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote172,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote173,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote174,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote175,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote176,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote177,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote178,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote179,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote180,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote181,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote182,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote183,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote184,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote185,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote186,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote187,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote188,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote189,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote190,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote191,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote192,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
Coyote193,coyote,eastern_coyote,Ontario,Canada,Heppenheimer_et_al_2018,10.5061/dryad.7f9q2cd
