unit,id,group,estimate_gq20,se_gq20,z_gq20,n_sites_gq20,estimate_all,se_all,z_all,n_sites_all,estimate_gl,se_gl,z_gl,n_sites_gl
group,great_lakes_wolf,great_lakes_wolf,0.0806,0.0236,3.41,16400,0.1009,0.02,5.05,79994,0.103,0.0204,5.05,79994
group,eastern_wolf,eastern_wolf,0.1291,0.0215,5.99,11840,0.1803,0.0177,10.19,79942,0.1907,0.018,10.6,79942
group,algonquin,eastern_wolf,0.0937,0.023,4.08,10638,0.1366,0.019,7.19,79829,0.1449,0.0195,7.44,79829
group,red_wolf,red_wolf,0.197,0.0237,8.32,16348,0.2232,0.0169,13.25,79905,0.2295,0.0171,13.42,79905
individual,Wolf18,great_lakes_wolf,0.0974,0.029,3.36,16333,0.1171,0.0243,4.81,79804,0.1181,0.0245,4.82,79804
individual,Wolf40,great_lakes_wolf,0.0643,0.0295,2.18,14679,0.0841,0.0241,3.48,79512,0.0866,0.0245,3.53,79512
individual,AlgonquinWolf13467,eastern_wolf,0.1085,0.0263,4.12,4362,0.147,0.0225,6.53,75936,0.1486,0.0228,6.5,75936
individual,AlgonquinWolf13470,eastern_wolf,0.0905,0.0244,3.72,8700,0.128,0.0169,7.59,79035,0.13,0.0171,7.61,79035
individual,QuebecWolf,eastern_wolf,0.2564,0.0418,6.13,3446,0.2937,0.0219,13.4,62326,0.2984,0.0219,13.61,62326
individual,Wolf25,red_wolf,0.1998,0.0242,8.25,16331,0.2274,0.0183,12.43,79626,0.2311,0.0185,12.49,79626
individual,Wolf26,red_wolf,0.1826,0.0298,6.13,6178,0.2183,0.0178,12.29,77238,0.2194,0.018,12.15,77238
