unit,id,group,estimate_gq20,se_gq20,z_gq20,n_sites_gq20,estimate_all,se_all,z_all,n_sites_all,estimate_gl,se_gl,z_gl,n_sites_gl
group,great_lakes_wolf,great_lakes_wolf,0.7417,0.0527,14.07,16399,0.7422,0.0355,20.89,79987,0.7464,0.0353,21.13,79987
group,eastern_wolf,eastern_wolf,0.4538,0.0384,11.82,11840,0.491,0.024,20.48,79933,0.4859,0.0232,20.9,79933
group,algonquin,eastern_wolf,0.5588,0.0439,12.74,10638,0.6512,0.0276,23.57,79822,0.6444,0.0269,23.94,79822
group,red_wolf,red_wolf,0.3556,0.0408,8.72,16346,0.3587,0.0334,10.75,79895,0.3603,0.0338,10.67,79895
individual,Wolf28,western_gray_wolf,1.0081,0.0475,21.23,16287,0.9767,0.0381,25.62,79813,0.9808,0.0373,26.29,79813
individual,Wolf29,western_gray_wolf,1.0498,0.0363,28.93,16309,1.0022,0.0279,35.89,79819,1.0047,0.0274,36.61,79819
individual,Wolf30,western_gray_wolf,0.9759,0.0675,14.47,5080,1.0035,0.0341,29.41,76309,1.0002,0.0341,29.3,76309
individual,AlaskanWolf,western_gray_wolf,0.9053,0.08,11.31,8641,1.0183,0.0539,18.89,78735,1.0164,0.0544,18.67,78735
individual,Wolf18,great_lakes_wolf,0.7614,0.0635,12.0,16332,0.7476,0.0431,17.35,79798,0.7519,0.0428,17.56,79798
individual,Wolf40,great_lakes_wolf,0.7139,0.0684,10.44,14679,0.7361,0.047,15.65,79509,0.7409,0.0463,15.99,79509
individual,AlgonquinWolf13467,eastern_wolf,0.5103,0.0713,7.16,4362,0.6089,0.0282,21.63,75930,0.6094,0.0275,22.19,75930
individual,AlgonquinWolf13470,eastern_wolf,0.5648,0.0493,11.47,8700,0.6879,0.035,19.68,79030,0.6874,0.0345,19.91,79030
individual,QuebecWolf,eastern_wolf,-0.0002,0.0714,-0.0,3446,0.018,0.0292,0.62,62321,0.0278,0.0284,0.98,62321
individual,Wolf25,red_wolf,0.3714,0.0437,8.5,16329,0.3613,0.0424,8.53,79617,0.3698,0.0421,8.78,79617
individual,Wolf26,red_wolf,0.2855,0.0486,5.87,6178,0.3593,0.031,11.6,77234,0.3626,0.0311,11.66,77234
individual,Coyote01,coyote,-0.0468,0.0463,-1.01,10758,-0.0326,0.0345,-0.95,79434,-0.0163,0.0339,-0.48,79434
individual,Coyote02,coyote,-0.0545,0.0508,-1.07,5698,-0.0101,0.0321,-0.31,76369,-0.0035,0.0313,-0.11,76369
individual,Coyote03,coyote,0.0929,0.0523,1.78,8310,0.0427,0.0392,1.09,77678,0.0459,0.0389,1.18,77678
