test,coyote_1,coyote_2,target,D,se,z
"D(California, Alabama; X, jackal)",Coyote01,Coyote02,western_gray_wolf,-0.0082,0.0262,-0.31
"D(California, Alabama; X, jackal)",Coyote01,Coyote02,eurasian_wolf,-0.0066,0.0244,-0.27
"D(California, Alabama; X, jackal)",Coyote01,Coyote02,great_lakes_wolf,0.013,0.0269,0.48
"D(California, Alabama; X, jackal)",Coyote01,Coyote02,algonquin,0.0453,0.0253,1.79
"D(California, Alabama; X, jackal)",Coyote01,Coyote02,red_wolf,0.0442,0.0244,1.81
"D(California, Alabama; X, jackal)",Coyote01,Coyote02,QuebecWolf,0.0797,0.0275,2.9
"D(California, Midwest; X, jackal)",Coyote01,Coyote03,western_gray_wolf,0.0007,0.0256,0.03
"D(California, Midwest; X, jackal)",Coyote01,Coyote03,eurasian_wolf,-0.0247,0.0256,-0.96
"D(California, Midwest; X, jackal)",Coyote01,Coyote03,great_lakes_wolf,0.001,0.0224,0.05
"D(California, Midwest; X, jackal)",Coyote01,Coyote03,algonquin,0.0276,0.0207,1.33
"D(California, Midwest; X, jackal)",Coyote01,Coyote03,red_wolf,0.0264,0.023,1.15
"D(California, Midwest; X, jackal)",Coyote01,Coyote03,QuebecWolf,0.0552,0.0291,1.9
"D(Alabama, Midwest; X, jackal)",Coyote02,Coyote03,western_gray_wolf,0.0093,0.0241,0.39
"D(Alabama, Midwest; X, jackal)",Coyote02,Coyote03,eurasian_wolf,-0.0193,0.0247,-0.78
"D(Alabama, Midwest; X, jackal)",Coyote02,Coyote03,great_lakes_wolf,-0.0108,0.0233,-0.46
"D(Alabama, Midwest; X, jackal)",Coyote02,Coyote03,algonquin,-0.0109,0.0248,-0.44
"D(Alabama, Midwest; X, jackal)",Coyote02,Coyote03,red_wolf,-0.0109,0.0242,-0.45
"D(Alabama, Midwest; X, jackal)",Coyote02,Coyote03,QuebecWolf,-0.0106,0.0303,-0.35
