target,coyote_source,coyote_locality,wolf,wolf_se,chisq,dof,p_value
Wolf28,Coyote01,California,0.9938,0.0193,4.08,5,0.5384
Wolf28,Coyote02,Alabama,0.9997,0.0204,5.0,5,0.4162
Wolf28,Coyote03,Midwest,0.9982,0.0248,5.12,5,0.4017
mexican_wolf,Coyote01,California,0.9471,0.0292,9.04,5,0.1075
mexican_wolf,Coyote02,Alabama,0.9309,0.0304,7.53,5,0.1838
mexican_wolf,Coyote03,Midwest,0.9239,0.0371,10.33,5,0.0664
great_lakes_wolf,Coyote01,California,0.7821,0.024,17.42,5,0.0038
great_lakes_wolf,Coyote02,Alabama,0.7682,0.0272,15.82,5,0.0074
great_lakes_wolf,Coyote03,Midwest,0.7429,0.0311,2.83,5,0.7258
algonquin,Coyote01,California,0.6803,0.0198,52.55,5,0.0
algonquin,Coyote02,Alabama,0.6507,0.0214,26.6,5,0.0001
algonquin,Coyote03,Midwest,0.612,0.0255,4.26,5,0.5124
red_wolf,Coyote01,California,0.4155,0.0248,39.58,5,0.0
red_wolf,Coyote02,Alabama,0.3801,0.0244,58.59,5,0.0
red_wolf,Coyote03,Midwest,0.3006,0.0374,2.28,5,0.8098
Wolf18,Coyote01,California,0.7839,0.0274,23.98,5,0.0002
Wolf18,Coyote02,Alabama,0.7719,0.0293,24.84,5,0.0001
Wolf18,Coyote03,Midwest,0.7479,0.0358,12.56,5,0.0279
Wolf40,Coyote01,California,0.7828,0.0326,12.04,5,0.0342
Wolf40,Coyote02,Alabama,0.7668,0.0385,9.51,5,0.0903
Wolf40,Coyote03,Midwest,0.7409,0.0417,1.07,5,0.9567
AlgonquinWolf13467,Coyote01,California,0.6661,0.0242,50.62,5,0.0
AlgonquinWolf13467,Coyote02,Alabama,0.633,0.0261,31.3,5,0.0
AlgonquinWolf13467,Coyote03,Midwest,0.5938,0.0312,3.8,5,0.5792
AlgonquinWolf13470,Coyote01,California,0.7184,0.0222,26.95,5,0.0001
AlgonquinWolf13470,Coyote02,Alabama,0.6963,0.0235,19.14,5,0.0018
AlgonquinWolf13470,Coyote03,Midwest,0.6604,0.0262,4.44,5,0.4886
QuebecWolf,Coyote01,California,0.1505,0.0257,87.27,5,0.0
QuebecWolf,Coyote02,Alabama,0.0943,0.0299,48.33,5,0.0
QuebecWolf,Coyote03,Midwest,-0.031,0.0373,4.57,5,0.4704
Wolf25,Coyote01,California,0.4229,0.028,31.57,5,0.0
Wolf25,Coyote02,Alabama,0.3877,0.0297,43.22,5,0.0
Wolf25,Coyote03,Midwest,0.3114,0.0433,2.04,5,0.8439
Wolf26,Coyote01,California,0.4209,0.0274,34.02,5,0.0
Wolf26,Coyote02,Alabama,0.3892,0.0254,42.68,5,0.0
Wolf26,Coyote03,Midwest,0.306,0.0349,1.18,5,0.9467
