target,wolf,wolf_se,dog,dog_se,dog_z,coyote,coyote_se,p_wolf_dog_coyote,p_wolf_coyote,two_way_wolf,two_way_wolf_se,n_sites
Wolf28,1.0085,0.0508,-0.017,0.0274,-0.62,0.0085,0.0348,0.5926,0.732,0.9845,0.0329,77248
mexican_wolf,0.7709,0.0801,0.1051,0.0417,2.52,0.1241,0.0522,0.8165,0.0935,0.9186,0.0491,77251
great_lakes_wolf,0.7453,0.0453,0.0151,0.0232,0.65,0.2397,0.035,0.3588,0.2841,0.7665,0.0348,77348
algonquin,0.5945,0.0308,0.0394,0.0183,2.15,0.3661,0.025,0.6326,0.2084,0.6499,0.0268,77234
red_wolf,0.3453,0.0416,0.0096,0.0238,0.4,0.6451,0.0335,0.8854,0.9504,0.3591,0.0345,77299
Wolf18,0.7415,0.0533,0.0345,0.0275,1.26,0.224,0.0421,0.0069,0.0052,0.7901,0.0427,77241
Wolf40,0.743,0.0517,0.0008,0.0259,0.03,0.2561,0.0443,0.9178,0.9817,0.7443,0.0453,76991
AlgonquinWolf13467,0.5447,0.0332,0.0568,0.0234,2.42,0.3985,0.0275,0.9594,0.099,0.6242,0.0311,73626
AlgonquinWolf13470,0.6152,0.0368,0.0573,0.0189,3.03,0.3275,0.0308,0.3014,0.032,0.696,0.0325,76504
QuebecWolf,-0.0356,0.0357,0.0558,0.0221,2.52,0.9798,0.0317,0.666,0.0615,0.0417,0.0342,60321
Wolf25,0.3539,0.0526,0.0115,0.0263,0.44,0.6345,0.0425,0.8491,0.9281,0.3704,0.0424,77094
Wolf26,0.3289,0.0394,0.0241,0.0276,0.87,0.647,0.03,0.6556,0.736,0.3633,0.0327,74907
