target,A,B,C,O,wolf_ancestry,se,baseline
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,all coyotes,golden jackal,0.7464,0.0353,True
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,all coyotes,dhole,0.729,0.0318,False
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,California coyote,golden jackal,0.7485,0.0345,False
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,California coyote,dhole,0.7407,0.0312,False
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,Alabama coyote,golden jackal,0.7483,0.0389,False
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,Alabama coyote,dhole,0.7298,0.0336,False
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,Midwest coyote,golden jackal,0.7353,0.0367,False
great_lakes_wolf,all Eurasian,Yellowstone + Alaska,Midwest coyote,dhole,0.7034,0.0355,False
great_lakes_wolf,all Eurasian,Yellowstone,all coyotes,golden jackal,0.7477,0.0387,False
great_lakes_wolf,all Eurasian,Yellowstone,all coyotes,dhole,0.7313,0.0348,False
great_lakes_wolf,all Eurasian,Yellowstone,California coyote,golden jackal,0.7496,0.0377,False
great_lakes_wolf,all Eurasian,Yellowstone,California coyote,dhole,0.7431,0.0339,False
great_lakes_wolf,all Eurasian,Yellowstone,Alabama coyote,golden jackal,0.751,0.0421,False
great_lakes_wolf,all Eurasian,Yellowstone,Alabama coyote,dhole,0.7329,0.0367,False
great_lakes_wolf,all Eurasian,Yellowstone,Midwest coyote,golden jackal,0.7364,0.04,False
great_lakes_wolf,all Eurasian,Yellowstone,Midwest coyote,dhole,0.706,0.0388,False
great_lakes_wolf,all Eurasian,Alaska,all coyotes,golden jackal,0.738,0.0413,False
great_lakes_wolf,all Eurasian,Alaska,all coyotes,dhole,0.7169,0.0329,False
great_lakes_wolf,all Eurasian,Alaska,California coyote,golden jackal,0.7402,0.0411,False
great_lakes_wolf,all Eurasian,Alaska,California coyote,dhole,0.7294,0.0329,False
great_lakes_wolf,all Eurasian,Alaska,Alabama coyote,golden jackal,0.7366,0.0436,False
great_lakes_wolf,all Eurasian,Alaska,Alabama coyote,dhole,0.7145,0.0343,False
great_lakes_wolf,all Eurasian,Alaska,Midwest coyote,golden jackal,0.7294,0.043,False
great_lakes_wolf,all Eurasian,Alaska,Midwest coyote,dhole,0.6907,0.036,False
great_lakes_wolf,all Eurasian,Mexican,all coyotes,golden jackal,0.8425,0.056,False
great_lakes_wolf,all Eurasian,Mexican,all coyotes,dhole,0.8043,0.0465,False
great_lakes_wolf,all Eurasian,Mexican,California coyote,golden jackal,0.8461,0.0558,False
great_lakes_wolf,all Eurasian,Mexican,California coyote,dhole,0.8122,0.0456,False
great_lakes_wolf,all Eurasian,Mexican,Alabama coyote,golden jackal,0.8403,0.057,False
great_lakes_wolf,all Eurasian,Mexican,Alabama coyote,dhole,0.7997,0.0459,False
great_lakes_wolf,all Eurasian,Mexican,Midwest coyote,golden jackal,0.8393,0.0603,False
great_lakes_wolf,all Eurasian,Mexican,Midwest coyote,dhole,0.7852,0.0521,False
great_lakes_wolf,Europe,Yellowstone + Alaska,all coyotes,golden jackal,0.7518,0.0363,False
great_lakes_wolf,Europe,Yellowstone + Alaska,all coyotes,dhole,0.7336,0.0336,False
great_lakes_wolf,Europe,Yellowstone + Alaska,California coyote,golden jackal,0.7548,0.0351,False
great_lakes_wolf,Europe,Yellowstone + Alaska,California coyote,dhole,0.7461,0.0325,False
great_lakes_wolf,Europe,Yellowstone + Alaska,Alabama coyote,golden jackal,0.7551,0.0401,False
great_lakes_wolf,Europe,Yellowstone + Alaska,Alabama coyote,dhole,0.7354,0.0354,False
great_lakes_wolf,Europe,Yellowstone + Alaska,Midwest coyote,golden jackal,0.7387,0.0384,False
great_lakes_wolf,Europe,Yellowstone + Alaska,Midwest coyote,dhole,0.7064,0.0382,False
great_lakes_wolf,Europe,Yellowstone,all coyotes,golden jackal,0.7504,0.0403,False
great_lakes_wolf,Europe,Yellowstone,all coyotes,dhole,0.7336,0.0368,False
great_lakes_wolf,Europe,Yellowstone,California coyote,golden jackal,0.7532,0.0387,False
great_lakes_wolf,Europe,Yellowstone,California coyote,dhole,0.7465,0.0353,False
great_lakes_wolf,Europe,Yellowstone,Alabama coyote,golden jackal,0.7551,0.0439,False
great_lakes_wolf,Europe,Yellowstone,Alabama coyote,dhole,0.7364,0.0388,False
great_lakes_wolf,Europe,Yellowstone,Midwest coyote,golden jackal,0.7369,0.0425,False
great_lakes_wolf,Europe,Yellowstone,Midwest coyote,dhole,0.7067,0.0417,False
great_lakes_wolf,Europe,Alaska,all coyotes,golden jackal,0.7491,0.0441,False
great_lakes_wolf,Europe,Alaska,all coyotes,dhole,0.7261,0.0359,False
great_lakes_wolf,Europe,Alaska,California coyote,golden jackal,0.7526,0.0441,False
great_lakes_wolf,Europe,Alaska,California coyote,dhole,0.7392,0.0358,False
great_lakes_wolf,Europe,Alaska,Alabama coyote,golden jackal,0.7498,0.0464,False
great_lakes_wolf,Europe,Alaska,Alabama coyote,dhole,0.7248,0.037,False
great_lakes_wolf,Europe,Alaska,Midwest coyote,golden jackal,0.7394,0.0463,False
great_lakes_wolf,Europe,Alaska,Midwest coyote,dhole,0.6986,0.0399,False
great_lakes_wolf,Europe,Mexican,all coyotes,golden jackal,0.8222,0.0611,False
great_lakes_wolf,Europe,Mexican,all coyotes,dhole,0.7872,0.0498,False
great_lakes_wolf,Europe,Mexican,California coyote,golden jackal,0.8268,0.0608,False
great_lakes_wolf,Europe,Mexican,California coyote,dhole,0.7965,0.0486,False
great_lakes_wolf,Europe,Mexican,Alabama coyote,golden jackal,0.823,0.0621,False
great_lakes_wolf,Europe,Mexican,Alabama coyote,dhole,0.7833,0.049,False
great_lakes_wolf,Europe,Mexican,Midwest coyote,golden jackal,0.817,0.066,False
great_lakes_wolf,Europe,Mexican,Midwest coyote,dhole,0.7647,0.0557,False
great_lakes_wolf,Asia,Yellowstone + Alaska,all coyotes,golden jackal,0.7576,0.0371,False
great_lakes_wolf,Asia,Yellowstone + Alaska,all coyotes,dhole,0.7384,0.0331,False
great_lakes_wolf,Asia,Yellowstone + Alaska,California coyote,golden jackal,0.7612,0.0362,False
great_lakes_wolf,Asia,Yellowstone + Alaska,California coyote,dhole,0.7513,0.0323,False
great_lakes_wolf,Asia,Yellowstone + Alaska,Alabama coyote,golden jackal,0.7585,0.04,False
great_lakes_wolf,Asia,Yellowstone + Alaska,Alabama coyote,dhole,0.7379,0.0348,False
great_lakes_wolf,Asia,Yellowstone + Alaska,Midwest coyote,golden jackal,0.7482,0.0383,False
